No,,作品名,タイトル,種別,タグ区分,カテゴリ,説明,使用技術,ファイル,行数,サイズ(KB),公開日,最終更新,コミット数,デモURL,ソースURL
11,👁,IRIS,IRIS ─ 視線のテルミン,楽器,GAZE,視線の巫女,視線がルーンを灯す楽器。浮かぶ8つの符を目で狙うと音が鳴り続け、まばたきで澄んだ音が弾ける。両目を閉じると静寂が訪れる。,Face Landmarker / Web Audio / カメラ(getUserMedia) / Canvas 2D,iris/index.html,837,34.3,2026-08-16,2026-08-16,1,https://apaapaapaapaapa2006-source.github.io/Oto/iris/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/iris/index.html
12,🖌,SUMI,SUMI ─ 墨のにじみ,楽器,INK,墨のにじみ,体の輪郭から墨がにじみ、動いた跡が一枚の水墨画として残る楽器。止まると墨は乾き、両腕を広げれば墨が咲いて琴と太鼓が響く。,Selfie Segmentation / Web Audio / カメラ(getUserMedia) / Canvas 2D,sumi/index.html,949,38.7,2026-08-17,2026-08-17,1,https://apaapaapaapaapa2006-source.github.io/Oto/sumi/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/sumi/index.html
13,💫,CASCADE,CASCADE ─ 傾ける星屑の滝,ゲーム,GAME,傾きの重力,体を傾けると重力ごと傾く物理ゲーム。降り注ぐ星屑を両腕で受け流し、光る共鳴環へ導いて音階を奏でる。,MediaPipe Pose / Web Audio / カメラ(getUserMedia) / Canvas 2D,cascade/index.html,1245,51.5,2026-08-17,2026-08-17,1,https://apaapaapaapaapa2006-source.github.io/Oto/cascade/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/cascade/index.html
14,👄,KOTODAMA,KOTODAMA ─ 声なき歌,楽器,VOICELESS,声なき歌,声を出さず、口の形だけで歌う楽器。あ・い・う・え・お の唇がそのまま母音になり、顔の高さが音程、眉を上げると合唱が重なる。,Face Landmarker / Web Audio / カメラ(getUserMedia) / Canvas 2D,kotodama/index.html,1098,45.5,2026-08-18,2026-08-18,1,https://apaapaapaapaapa2006-source.github.io/Oto/kotodama/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/kotodama/index.html
15,👹,DARUMA,DARUMA ─ だるまさんがころんだ,ゲーム,GAME,静止と接近,だるまさんがころんだ。鬼が唱える間にカメラへ歩いて近づき、振り向いた瞬間に完全静止する。少しでも動けば見つかる。,MediaPipe Pose / Web Audio / カメラ(getUserMedia) / Canvas 2D,daruma/index.html,1358,57.8,2026-08-19,2026-08-19,1,https://apaapaapaapaapa2006-source.github.io/Oto/daruma/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/daruma/index.html
16,🎼,ORGEL,ORGEL ─ 光のオルゴール,楽器,LIGHT,光のオルゴール,カメラに見せた光がそのまま譜面に焼きつく光のオルゴール。走査線が通るたび音になり、色で音色が、影で消しゴムが決まる。,Web Audio / カメラ(getUserMedia) / Canvas 2D,orgel/index.html,1217,48.2,2026-08-20,2026-08-20,1,https://apaapaapaapaapa2006-source.github.io/Oto/orgel/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/orgel/index.html
17,🕳,KATA,KATA ─ 光の型抜き,ゲーム,GAME,光の型抜き,人型の穴が空いた光の壁が正面から迫ってくる。届くまでに体の形を合わせて穴をくぐり抜けろ。はみ出した部分は赤く光る。,MediaPipe Pose / Web Audio / カメラ(getUserMedia) / Canvas 2D,kata/index.html,1351,54.4,2026-08-21,2026-08-21,1,https://apaapaapaapaapa2006-source.github.io/Oto/kata/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/kata/index.html
18,🗻,YAMABIKO,YAMABIKO ─ 身体の輪唱,楽器,LOOP,身体の輪唱,手を振り下ろすと音が鳴り、5秒のループが一周するたび“さっきの自分”が影の分身になって同じ演奏を繰り返す。重ねるほど山彦のように高く澄んだ輪唱になる。,MediaPipe Pose / Web Audio / カメラ(getUserMedia) / Canvas 2D,yamabiko/index.html,1163,46.4,2026-08-22,2026-08-22,1,https://apaapaapaapaapa2006-source.github.io/Oto/yamabiko/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/yamabiko/index.html
19,🎐,FURIN,FURIN ─ 風鈴と空気の楽器,楽器,WIND,風鈴,カメラの前で手をはらうと空気が流れ出す。風はすぐには止まらず、花びらを乗せて漂い、吊るされた風鈴を揺らして鳴らす。円を描けばつむじ風。,Web Audio / カメラ(getUserMedia) / Canvas 2D,furin/index.html,1249,49.9,2026-08-23,2026-08-23,1,https://apaapaapaapaapa2006-source.github.io/Oto/furin/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/furin/index.html
20,🏮,HOTARU,HOTARU ─ 静けさで捕まえる蛍,ゲーム,GAME,蛍狩り,そっと手を開いて待つと蛍が寄ってきて、手のひらの脈動に同調して一緒に光りだす。光った瞬間に静かに手を閉じて捕まえる60秒の蛍狩り。慌てれば散る。,MediaPipe Hands / Web Audio / カメラ(getUserMedia) / Canvas 2D,hotaru/index.html,1374,55.9,2026-08-24,2026-08-24,2,https://apaapaapaapaapa2006-source.github.io/Oto/hotaru/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/hotaru/index.html
21,🪞,KAGAMI,KAGAMI ─ 合わせ鏡の曼荼羅,楽器,SYMMETRY,合わせ鏡,左右の手を鏡写しに重ねる楽器。ズレていると像が水色と桃色に分離して和音が濁り、形が揃うほど曼荼羅が結晶して音が澄む。揃えたまま保つと開花して次の和音へ。同じ形では二度咲かない。,MediaPipe Hands / Web Audio / カメラ(getUserMedia) / Canvas 2D,kagami/index.html,1258,49.4,2026-08-25,2026-08-25,1,https://apaapaapaapaapa2006-source.github.io/Oto/kagami/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/kagami/index.html
